id,title,germanTitle,year,song
1,High Fidelity,,2000,1
2,The Secret of My Success,Das Geheimnis meines Erfolges,1987,1
3,Glee,,2009,1
4,Look Who's Talking,"Kuck mal, wer da spricht!",1986,1
5,American Psycho,,2000,1
6,Moon,,2009,1
7,Megamind,,2010,2
8,Joe Dirt,,2001,2
9,The Parent Trap,Ein Zwilling kommt selten allein,1998,2
10,Problem Child,So ein Satansbraten,1990,2
11,Terminator 2: Judgment Day,,1991,2
12,Christine,,1983,2
13,Sweet Home Alabama,,2002,3
15,The Textas Chainsaw Massacre,,2003,3
16,Con Air,,1997,3
17,8 Mile,,2002,3
18,City of God,,2002,4
19,Bowfinger ,,1999,4
20,Berverly Hills Ninja,,1997,4
21,I`m Gonna Git You Sucka,,1988,4
22,Rush Hour 3,,2007,4
23,The Simpsons,,Since 1977,5
24,Saturday Night Fever,,1977,5
4,Look Who's Talking,"Kuck mal, wer da spricht!",1986,5
25,Madagascar,,2005,5
26,A Night at the Roxbury,,1998,5
27,The Wizard if Oz,Der Zauberer von Oz,1939,6
28, You've Got Mail,Email für Dich,1998,6
29,Australia,,2008,6
30,Good Morning Vietnam,,1987,7
25,Madagascar,,2005,7
31,12 Monkeys,,1995,7
32,Harold & Kumar Escape from Guantanamo Bay,,2008,7
33,New Year's Eve,,2011,7
34,Journey 2: The Mysterious Island,,2012,7
35,Fight Club,,1999,8
36,Donnie Darko,,2001,9
37,The Departed,,2006,10
23,The Simpsons,,Since 1977,10
38,Pulp Fiction,,1994,11
39,Reservoir Dogs,,1992,12
